VALENCE,AROUSAL,SENTENCE
-1.0,1.0, U_M oy vey the poor thing sick give her some kisses and hugs from me
-1.0,1.0,unqualified
0.0,1.0,tonight
0.0,1.0,pls answer mee
0.0,1.0,Even this very sentiment! /r/ofcoursethatsathing
-1.0,1.0,unsetlled
0.0,0.0,OK for one off usage
-1.0,1.0,be quite unpleasant
1.0,1.0,Interesting
1.0,1.0,securely
1.0,0.0,uhh somewhat refreshing
0.0,1.0,he wants to discuss with them
1.0,1.0,this image makes me feel reflective of my time in America during Halloween time
1.0,1.0,lyrical
1.0,1.0,Good product really like it
-1.0,1.0,noisy
1.0,1.0,likeable
1.0,1.0,nourish
1.0,0.0,If this is the original Thai (I think) one then I would say it was a pretty good watch. Haven't watched any other versions
0.0,1.0,Hello Udo and Benedikt.
0.0,1.0,What an unusual situation to have to deal with
0.0,1.0,still (via U_M
-1.0,-1.0,limitation
0.0,1.0,This is art that I found via google
-1.0,1.0,that's a problem
0.0,1.0,Comment for later
-1.0,1.0,Don't get excited yet
0.0,1.0,busy busy buy a day full of configuration files!
0.0,1.0,you can ask me the following questions
0.0,1.0,what is the number
-1.0,-2.0,I feel brokens
-1.0,0.0,One dancer who spoke on condition of anonymity describes the lack of negotiating power.
1.0,1.0, U_M I love all your Amazing songs and I think you are an inspiration to all young girls out there x Lauryn
-1.0,1.0,this won't make anyone happy
-1.0,-2.0,Bad and poorly written plot.
1.0,1.0,gentle
0.0,1.0,go-go chicken and vegetable
0.0,0.0,can you tell me about yourself please
-1.0,1.0,timid
1.0,1.0, U_M Feel better. U_M Tomorrow is my last day whoo
0.0,1.0,We have the same feelings
1.0,0.0,"""If you're writing a formal document or an academic essay, it's best not to use contractions. However, for informal writing, including blogging and social media posts, contractions are perfectly acceptable."""
0.0,0.0,He wasn't irresponsible about his duties.
-1.0,1.0,uhh it makes me feel a little down I suppose it's the
1.0,1.0,uphold
-1.0,1.0, U_M It ain't here either. So no need to come here and look for it.
0.0,1.0,"""No, they aren't."""
0.0,1.0,playing game at home! my new boss didn't call me yet
0.0,0.0,Saving for later
1.0,1.0,reliable
0.0,0.0,Sorry I couldn't hear you
1.0,1.0,cushy
0.0,1.0,later
1.0,1.0, U_M thanks gorgeous you ok? love you xx
0.0,1.0, U_M hope your ok.
-1.0,1.0, U_M no obsessors my interests must be so boring &gt;:|
0.0,1.0,1. Left tiddy 2. Right tiddy
1.0,1.0,make effort
-1.0,1.0,apparently i have really bad taste
1.0,1.0,without a hitch
0.0,1.0,on this piece of
-1.0,1.0,hard work
0.0,1.0,there's no acceleration expiries
1.0,0.0,convenience
1.0,1.0,I guess happy
1.0,1.0,I'm ok
-1.0,inaudible,inaudible
1.0,1.0,How are you?
1.0,1.0,calm and happy in a mild way
-1.0,0.0,no new ones being made
1.0,1.0,healthily
-1.0,0.0,disorganized
1.0,1.0,&quot; and community amid diversity; my favorite combination. I feel the same way
0.0,1.0,Oh boy
0.0,0.0,then back to my tax declaration
0.0,1.0,Simply tell me what you'd like to do and I'll guide you to where you need to be.
-1.0,0.0,it's looks like it's been abused
0.0,1.0,even at pj as usual
-1.0,1.0,"""All that interesting information and you get 3 upvotes , feels bad man"""
1.0,1.0,hallmark
1.0,1.0,simple
-1.0,1.0,just plain wrong
-1.0,1.0,crooked
-1.0,0.0,low morale today coz of same email issues
-1.0,1.0,it won't make her happy
1.0,0.0,secure and reliable. when you buying remember to check seller´s rating and reviews.
-1.0,1.0,spotty
0.0,1.0,Negative Sentence Examples
0.0,1.0,Hello I'm Rachel.
1.0,1.0,Beautiful shot. It goes through my back yard every day.
0.0,1.0, U_M a new one ?
-1.0,-2.0,discourage
-1.0,0.0,bruised
-1.0,0.0,drawback
-1.0,1.0,"""Nah, this sub is for well put together unpopular opinions. This is too low effort."""
1.0,1.0,I like in Iowa. The weather part is true
1.0,1.0,No problem.
1.0,0.0, U_M Sophie must drink alot of Good Green Tea Good green tea on offer today in ASDA only 40p per 500ml bottle.
1.0,1.0,convincing
0.0,undetermined,I'm not sure
1.0,1.0,thanks for sharing.
1.0,0.0,that'll be nice.
0.0,1.0,He looks like that one guy
0.0,1.0,I have. Take care
0.0,0.0,cables coiled at the end of the desk.
0.0,0.0,pc and phone?
-1.0,1.0,bug
1.0,1.0,that's good
0.0,0.0,facilities project
0.0,1.0,"""""I think that's why I like Los"""
1.0,0.0,adequate
0.0,1.0,Using two negatives usually turns the thought or sentence into a positive one.
-1.0,1.0,faulty
0.0,1.0,what about what's your favourite movie
1.0,1.0,you have a nice day too
-1.0,0.0,sigh
1.0,1.0,fresh it makes me feel fresh and it makes me feel
0.0,1.0, U_M Australia! i want it to hurry up and come out :@
0.0,1.0,LA?
0.0,1.0,Can you teach my kids ?
0.0,1.0,can we tell us story together
1.0,1.0,grace
-1.0,1.0,bloody doesn't do much
-1.0,1.0, That literally made my stomach clench. I can't believe they are charged for the samples Just eww.
0.0,0.0,what are the other teams
1.0,1.0, U_M ok cool!! I will let you or nat know by tomorrow if my friend wants the cat he really wants one
-1.0,1.0,doesn't go anywhere
0.0,1.0,time
-1.0,-1.0,headache
0.0,1.0,do you like
-1.0,-2.0,never mind
1.0,1.0,interested
0.0,1.0,Which one interests you.
0.0,1.0, U_M That's news I don't want to hear lol
0.0,0.0,whats the weather
0.0,1.0,John
1.0,1.0,uhh soft cozy
-1.0,-1.0,subdued
1.0,1.0,it's very cute
0.0,1.0,vaermina another
0.0,0.0,what should I have for lunch
0.0,1.0,PERSON_NAME mate care face
-1.0,1.0,I hate storms
-1.0,0.0,bland
1.0,1.0, U_M fitzzy didnt go to skl skl was good ROSE DIDNT WEAR THE CROWN
0.0,1.0,do you have a name
1.0,1.0,can you tell me another joke
-1.0,-2.0,let down
1.0,1.0,supple
0.0,1.0,And how many miles has it done?.
-1.0,1.0,mistakenly
1.0,1.0,cool xx
1.0,1.0,Lunch frites yummy yummy aa
0.0,1.0,ok
0.0,1.0,can we just have a chat
-1.0,0.0,I don't think I know that one.
1.0,1.0,that looks promising
0.0,1.0,"""Well hello Greg, it's been oh, you're wearing that?."""
1.0,1.0, U_M I'll send some good find it vibes
0.0,1.0,we are at
1.0,0.0,"""Good question Udo, let me think about it and get back to you."""
0.0,0.0,So? Many people don't resemble their parents.
1.0,1.0,bright
-1.0,1.0,cannot be good
0.0,1.0,what's your favourite animal
0.0,0.0,sunflower seeds and pumpkin seeds.
0.0,1.0,listening
-1.0,1.0,scant
-1.0,1.0,"""/s, you forgot this."""
0.0,1.0,I have a big family of artists
1.0,0.0,fair
-1.0,0.0,This isn't a beetle but I don't know what kind of bug it is.
0.0,1.0,Which one interests you?.
1.0,0.0,not too bad
-1.0,1.0,and constricted
-1.0,-2.0,My calamari salad was dripping in a awful dressing. I would definitely not be returning.
1.0,1.0,This is not as bad as it looks
1.0,1.0,Spread
0.0,1.0,although it just might be
0.0,1.0, U_M I'm sorry Phee I'm sure it will be okay? Text me if you need to xx
-1.0,-2.0,conversation just doesn't continue
0.0,1.0,how are you doing this
-1.0,0.0,a little bit sad
0.0,1.0,what's the time over again this
0.0,1.0,what do you want
0.0,1.0,Logically it's possible.
1.0,0.0,sounds good
1.0,1.0,greetings human
1.0,1.0,excel
-1.0,0.0,sore
1.0,1.0, U_M The cream rice was pretty ave LOL sorry! My memories about as good as a goldfishes. Im very proud of myself
-1.0,1.0,hmm stupid
1.0,1.0,exactly exactly
0.0,1.0,what's song machines doing
0.0,0.0,There are a lot of physical cues you can pick up from social interactions
1.0,1.0,this is not bad at all
0.0,1.0,PERSON_NAME let's just chat
-1.0,1.0, U_M i smell your toot eww lol
-1.0,1.0,unfinished
-1.0,0.0,lackluster
0.0,1.0,Soft boiled huh?
0.0,1.0,anagrammer
-1.0,1.0,baad
-1.0,1.0, U_M i like to bitch nah its just really bad 2 night
0.0,1.0,who's your favourite actress
0.0,1.0,sound can you move your arms
0.0,1.0, U_M or you can have it for breakfast during English btw what part of the final do we have tmrw?
0.0,1.0,Heading to work
1.0,1.0,Pal
1.0,1.0,Relaxing with family // 1st Album Purchase today // Worked on cover song today // Good night world!
-1.0,0.0,not too many questions and answers
-1.0,1.0,Rick is not here.
-1.0,-2.0,and disappointed
1.0,1.0,amusingly
1.0,1.0,wisely
0.0,1.0,That will never not be true though
0.0,0.0,He was eating cauliflower rice.
1.0,0.0,adequately
1.0,1.0,amiable
-1.0,1.0,mar
0.0,1.0,You say tomato I say tomahto.
-1.0,1.0,tell someone who cares
0.0,1.0,Interested?.
-1.0,-2.0,This platform is a false.
1.0,1.0,colorful
1.0,1.0,glow
0.0,0.0,work
1.0,1.0,"""But, making the change from negative to positive is quite easy."""
1.0,1.0,interested in working out what it is
1.0,1.0,that's good how can you help me in my job
1.0,1.0,deftly
-1.0,1.0,Lack
0.0,1.0,wcve
1.0,1.0,punctually
0.0,1.0,really
0.0,1.0,dosen't it looks nice ?
0.0,1.0,I have
0.0,1.0,Back to Work
1.0,1.0,swimmingly
1.0,1.0,fond
0.0,neutral,i'm a neutral sentence
0.0,1.0,do we have done we do versions of
0.0,0.0,garment steamer
-1.0,1.0,I don't understand what you are saying
0.0,1.0,so I'm down here
1.0,1.0, U_M K. Take care of urself plz have wonderful dreams.
1.0,1.0,You're welcome
-1.0,1.0,inadequately
-1.0,1.0,smear
0.0,0.0,assignments
-1.0,1.0,sick
0.0,0.0,Cats can be right-pawed or left-pawed. -- LocationBot 4.31977192 | Report Issues
-1.0,1.0, U_M morning girlie!! hows u? up to much today? the weathers crap here today xx
-1.0,undefined,undefined
0.0,1.0,He already did
1.0,1.0,orderly
1.0,1.0,good morning
0.0,1.0,store avocado this is completely ready except for the timing
1.0,0.0,that's neat.
0.0,1.0,what else can we talk about
-1.0,1.0,pretend
0.0,1.0,where did you learn to speak
1.0,1.0,prudent
0.0,1.0,sometime
0.0,1.0,what link
1.0,0.0,its still good
-1.0,-1.0,I don't like to travel
1.0,1.0, U_M Still no Rowville Trying to keep the faith here! ;)
0.0,1.0,maybe. we can have a barbeque in my back garden
1.0,1.0,assuringcontentment
-1.0,1.0,I need to buy a better one
1.0,1.0,sustain
-1.0,0.0,it utterly fails to find its own voice
-1.0,-1.0,tedious
1.0,1.0,i'm good how are you
0.0,0.0,In class
0.0,0.0,"""""Here's where to sign up and a bit more information."""
1.0,1.0,bear fruit
0.0,-2.0, U_M I'll pass on your offer Mark
-1.0,0.0,"""You'll have to stay on your toes to follow the plot, which is really not worth the effort."""
0.0,1.0,let's just cats
-1.0,1.0,poor girl
0.0,1.0,how do you invented
0.0,1.0,Why stop there
0.0,1.0,Running late. imagine that.
0.0,1.0,do you know how to code ?
-1.0,untested,untested
0.0,1.0,Think you mean this Labour MP
0.0,1.0,so is it
1.0,1.0, U_M Aww thats a pity Yeah I can't wait!
-1.0,-2.0,it's kind of depressing
-1.0,0.0,"""it will be the compilation of 3 games, don't get your expectations that high."""
1.0,1.0,proper
-1.0,0.0,"""People are less willing, I think, to make an effort to action those opinions"""
1.0,1.0,lesson
0.0,1.0,how old are you from
0.0,1.0,"""With Firing Range and Seaside having 2 variations, and everyone voting to replay them every time It already feels like this"""
0.0,1.0,how much do I owe you
1.0,1.0,interested in
0.0,1.0,Just wait.
1.0,0.0,umm interested
0.0,1.0,did I? Tweetie makes it too easy to do that
1.0,1.0,Cordial
0.0,1.0,what can we say
0.0,1.0,can you do it
0.0,0.0,even with citizenship courses integrated into schools
1.0,1.0,good-naturedly
-1.0,1.0,slowest
0.0,1.0,Umm Woosh?
-1.0,0.0,Very rude customer service. Very average food.
-1.0,1.0,"""Abandoned place, booked a time and no one show up, don't confuse this place with the Aroma in CBD which the best place for massage, a total waste of time."""
-1.0,1.0, U_M they really do. I'm always out though stupid dancing
0.0,1.0, U_M im kidding xox
1.0,1.0,I'm quite interested
-1.0,-2.0,no longer good
0.0,1.0,Yes?.
-1.0,1.0,it's gonna be such a pain to
-1.0,1.0, U_M I'm sorry boo for that
0.0,1.0,do you want to scan
1.0,1.0,how about you help me understand soul machine
1.0,1.0,reputable
-1.0,0.0,not paying attention and reading a book
-1.0,1.0,sheepishly
0.0,0.0,what does a common stand worker look like
-1.0,1.0,damn headache zero motivation today! x
0.0,1.0,you look like someone I know ?
0.0,1.0,do you like give it a
-1.0,1.0,I would imagine I'd feel sad sad little bit
1.0,0.0,this is not bad
0.0,1.0, U_M Dang! I would have done this if I knew it was there earlier. Any other outings planned?
1.0,1.0,and am happy not to have
1.0,1.0,amusing
0.0,1.0,I will let you know how they turn out
-1.0,1.0,partiality
-1.0,1.0,I've seem better one
-1.0,1.0,maybe not no
-1.0,1.0, U_M I miss you hun We should meet up soon. He's back to prick mode so I don't want to know. You'd be cross if I told you
1.0,1.0,genuine
0.0,1.0,can you see me some
0.0,0.0,City employees cannot contribute to political campaigns
-1.0,1.0,I am just saying that it makes no sense in Russian
-1.0,1.0,negative
1.0,0.0,umm they make me feel like relaxed a little bit
1.0,0.0,pleased I guess a bit mild
0.0,1.0,by any chance?
1.0,1.0, U_M sounds good I'll keep an eye out for when you upload it down the track! Are you planning to submit it for Top Designs?
1.0,1.0,diligence
-1.0,1.0,facile
0.0,1.0,heading to the
-1.0,0.0,stuffy
0.0,1.0,what are you up to DATE
-1.0,1.0,ploy
1.0,1.0,Trusting
-1.0,1.0,meager
-1.0,1.0, U_M its not happening for me either! buh im ill! Whats your excuse! haha x
-1.0,1.0,oh thats rather weak then. kmt thought they would know better. its a reactable headbutt.
0.0,1.0, U_M Yes dont get mad at me.
1.0,1.0,intricate
-1.0,1.0,wrong
-1.0,-2.0,unnecessary
0.0,1.0,Visiting my family URL
0.0,1.0, U_M yo yo yoo how u doin?
0.0,0.0,"""He didn't consult the history books so much as the stories told to him by his grandfather, Alfred Mendes."""
1.0,1.0, U_M aww aha babba you'll be fine you WILL pass xx
-1.0,-2.0,can we stop posting stuff like this? It comes off as desperate *edited for typo*
1.0,1.0,improved
0.0,1.0,I'm right here
-1.0,1.0,I dont know the answer to that
1.0,0.0,doesn't make me feel much but maybe relaxed
0.0,1.0,LOCATION
0.0,1.0,Okay so
1.0,1.0,and very content
-1.0,1.0,Maybe it's similar to how [NAME] hates cantaloupe.
-1.0,1.0,dubious
-1.0,-2.0,no sun
0.0,1.0,cool
-1.0,1.0,tarnish
1.0,1.0,root for
0.0,0.0,what do you provide for customers
0.0,0.0,"""Devising a number of tests, the researchers were able to measure charitable actions"""
0.0,1.0,your joke is
0.0,1.0, mm unforbidden ham
1.0,0.0,mildly interesting
0.0,1.0,Why would I do that?
0.0,1.0,can we roll play banking
-1.0,1.0,1. They don't understand football fundamentals. They play [NAME]. 2. They are short and want someone to identify with.
1.0,0.0,Looks like a cool location.
0.0,1.0,you have any problem
0.0,1.0,What song would you have chosen?
-1.0,1.0,poor
0.0,0.0, U_M Huge phone bill. Or lots of phone cards?
-1.0,0.0,""">the ad, which has been both criticised and applauded Applauded by non-customers. Criticized by customers."""
-1.0,1.0,these headphones sucks balls. crappy sound
1.0,balanced,balanced
-1.0,0.0,a bit guilty
0.0,0.0,searching
1.0,1.0, U_M can't wait. &amp; I'll cook something for ya.
0.0,1.0,Mexico's or USA?
0.0,1.0,can you tell me another joke
0.0,1.0,how can i help you
0.0,1.0,but you mentioned his name
1.0,1.0, URL i like their logo today guess it's the anniversary of tetris
0.0,1.0,Works for me. The video is called : The great porn experiment | [NAME] | TEDxGlasgow
-1.0,-2.0,it makes me feel gloomy
-1.0,1.0,hindrance
1.0,1.0,I think you're pretty good for a digital thing I think you're really good so do you help people
-1.0,1.0,no what was it
1.0,1.0,Wee I got 'cross my heart and hope to spy&quot;
0.0,0.0,what is a digital brain
-1.0,1.0,they don't look good
0.0,1.0,Forging a signature.
-1.0,1.0,reproach
1.0,1.0,without trouble
1.0,1.0,Sending hugs to cheer you up U_M
1.0,0.0,umm yeah relaxed
1.0,1.0,honesty
0.0,1.0,what is soul machines doing
0.0,1.0,Kiosk
0.0,1.0,can you make me coffee
0.0,1.0,I'm currently in LOCATION
0.0,1.0,I researched the history of the meme
-1.0,1.0,I'm afraid you have your terms mixed up -
0.0,0.0,what's the history of soul machines
-1.0,1.0,foul up
-1.0,1.0,Defer
1.0,1.0,umm good
1.0,1.0,enjoy your breakfast !
-1.0,1.0,unwilling
0.0,1.0,how much do you make on average ?
1.0,0.0,convenient
-1.0,-2.0,uncool
1.0,1.0,I really applaud you for your patience
0.0,0.0,Vr chat is free and you can play it without vr
0.0,1.0,what's your favourite sport
-1.0,1.0,poor peanut
1.0,0.0,this works as well yeah
-1.0,1.0,ppl have &quot;catching up moment&quot; at school. but i'm not having it today pretty boring. i miss U_M
1.0,1.0,"""Hi, so good you're here"""
0.0,0.0,"""That's according to figures released today, which found that 29 per cent are aiming to use less energy at home this year."""
0.0,1.0,Let's see that tutorial.
1.0,1.0,goodly
0.0,1.0,who's PERSON_NAME
0.0,0.0,They don't practice yoga.
0.0,1.0,Heading home
0.0,0.0,a black pen
0.0,1.0,comes to
0.0,1.0,text to LAST_NAME
-1.0,-2.0,garbage
-1.0,1.0,Owe
0.0,0.0,"""Yes. However, they also could've just gotten something catered."""
0.0,0.0,I do not work on weekends
0.0,1.0,I mean most players get that
1.0,1.0,not sure why but I like it
-1.0,0.0,reluctantly
-1.0,1.0,it looks like that was an experiment that failed.
0.0,1.0,it's not it's
0.0,1.0,how many years is that
0.0,0.0,can you tell me more about technology
-1.0,1.0,"""""I don't even know what that"""
1.0,1.0,smoothly
0.0,1.0,mi yougurt bubububu
0.0,0.0,companies building
-1.0,1.0,I don't think this happened at all tbh
1.0,1.0,readily
1.0,1.0,have a nice Sunday
1.0,1.0,opportunity
-1.0,1.0,unsavory
1.0,0.0,"""Suction is maintained over a variety of different surfaces and the attachments are diverse enough that it suits all my needs; pet hair, couch, tile floor Relatively easy to maneuver around"""
0.0,1.0,That's quite an arrangement
-1.0,1.0,but didnt go to final
0.0,1.0,are you doing
0.0,1.0,so
-1.0,0.0,sluggish
0.0,1.0,There is no 'H' in [NAME]. Source: |
0.0,1.0,ok so what work do you do PERSON_NAME
1.0,1.0,interesting
1.0,1.0,and love
0.0,1.0,Should we give it a go.
-1.0,1.0, U_M thanks. the file had corrupt. gayness
0.0,1.0,my mom made the chili
0.0,1.0,Can you imagine though.
1.0,1.0,Nice to meet you !
0.0,1.0,can you tell me what your favourite book is
-1.0,0.0,Bad packaging
1.0,1.0,uhh and glad
0.0,1.0, U_M Just a hobby.I'm toying with writing a book but have a ways to go. A grilled cheese What did you have for lunch?
1.0,1.0,devoted
-1.0,1.0,broke
1.0,1.0,guidance
0.0,1.0,I've got question
1.0,1.0,this image makes me feel calm and happy because I can imagine being at home with this dog
1.0,1.0, U_M do you guys want me to contribute some artwork to your booth @ supanova? Id be happy to hey Cant wait! got my tix recently
0.0,0.0,Can you record grey's anatomy?
0.0,0.0,"""While you're considering clarity in your writing, consider using the active voice as well. It adds impact to your writing because, in these construct, the subject is carrying out the action of the verb. The opposite of the active voice is the passive voice, where the subject is being acted upon by the verb. In these constructs, the subject is being acted upon by the verb and that can muddy the waters. For more on that, enjoy Change Passive Voice to Active Voice."""
0.0,0.0,That would be an unfamiliar feeling
0.0,1.0,what is it
-1.0,-2.0,Hard pass on this!
0.0,1.0,I found the book
1.0,1.0,equitable
-1.0,1.0,lumpy
1.0,1.0,amused
0.0,1.0,It looks like there's nothing here.
1.0,1.0,so tell me
0.0,1.0,Puddle More like pothole. Ironic it looks like NJ
-1.0,-2.0,no credible characters
0.0,0.0,can you tell me a little bit about what you do
0.0,1.0,think about what you're ok when I was it ABC
0.0,1.0,Hmm This map]( a lot like this map
0.0,-2.0,can we talk about something else
1.0,1.0,openness
1.0,1.0,devotion
0.0,1.0,itself
-1.0,-2.0,This movie is just a big bad joke.
1.0,1.0,toll-free
0.0,1.0, U_M idk what 2 wear LOL
0.0,1.0, U_M she's also on twitter U_M
0.0,0.0, U_M not sure . had a veggie noodle dish and rice potato dish from buffet. And saag! URL
1.0,1.0,fine
-1.0,0.0,not very well
0.0,1.0,That's what I can provide for everyone.
0.0,1.0,do you have a question for me
0.0,1.0,so let's
1.0,1.0,good let's just chat
1.0,0.0,That's reasonable and pretty inexpensive for a 75 mile round trip.
-1.0,1.0,inadequate
0.0,1.0,roine&quot;
1.0,0.0,That's probably a good idea. Call them and see if they can help you.
0.0,1.0,check your credit
0.0,1.0,the PERSON_NAME
0.0,0.0,Waiting to get labs drawn
1.0,0.0,the model looks pretty real
-1.0,1.0,no I didn't
0.0,1.0,Did I get that right?.
1.0,1.0,I'll let you believe that for now. You'll see what I mean in 3-5 years Have a nice night stranger
0.0,1.0,tell me your age please
-1.0,0.0,what's wrong?
-1.0,-2.0,unappealing
0.0,0.0,I'm at work
0.0,1.0,who are you
1.0,1.0,appropriate
0.0,1.0,any recommendations? URL
1.0,1.0,prompt
-1.0,1.0,doubtfully
0.0,1.0,what's your purpose
1.0,1.0,Good Morning hehehe
1.0,0.0,Affordable
1.0,0.0,"""calm, I guess?"""
0.0,1.0,what projects are you doing in Soul machines
-1.0,1.0,lives next door to them so I feel really disappointed that someone I would know would behave that way
0.0,1.0,"""Negative sentences are declarative statements. That is, they relay information believed to be true. Negative sentences are typically formed by adding the word """"not"""" after the helping verb. The most popular helping verbs are a form of """"to be,"""" including """"am,"""" """"is,"""" """"are,"""" """"was"""" and """"were."""""
-1.0,1.0,bogus
-1.0,1.0,and bit sad
-1.0,1.0,"""Very cute, like a reverse hungry hungry hippo, but children can not assemble this themselves. For a game aimed at young children I would like them to be able to play from start to finish independently but the mountain takes forever to assemble, just when you think you've got it all figured out, you press the last piece too hard and have to start over. Not to mention there is a hole in the box where the Yeti is displayed, so the box is useless for storing all the tiny marble sized meatballs. I'd love to see this game remarketed with a fully assembled mountain that doesn't collapse in a larger box that can contain all the parts. Doubt it will get much use at our house unfortunately."""
1.0,1.0, U_M that's what I said Let's enjoy what we have now
-1.0,1.0,ugh
1.0,1.0, U_M Yes you were! *extra hug*
-1.0,-1.0,I was not able to connect to the characters
-1.0,-2.0,has no friends on twitter
0.0,1.0,Angela
0.0,0.0,I don't hate it
0.0,1.0,does anyone still can download from amanaimages?
1.0,1.0, no longer risk
1.0,0.0,easing
1.0,1.0,time-honored
-1.0,1.0, U_M I liveblogged Affiliate Summit in Vegas with a broken foot. That was not fun.
1.0,1.0,""" Mine came in perfect condition. Some reviews list some """"common"""" problems but mine is just fine and I couldn't be happier. Comes with two needles. I'm including a 36-second video. Listen to that audio quality!"""
-1.0,1.0, U_M i feel sick today too xx
0.0,1.0,No problem Peter.
1.0,1.0,straightforward
0.0,1.0,it's from a book called
0.0,1.0,Like any relationship Communication is key Oh yeah Please just be yourself
0.0,1.0, U_M err sayy URL
0.0,0.0,He did not mention neither the deposit nor the rate.
1.0,1.0,can you tell me a joke
0.0,1.0,can we talk about creation
1.0,1.0,helpfully
1.0,1.0,Oh here's a thought!
0.0,1.0,so resting again
0.0,1.0,On the coast of california.
-1.0,1.0,Did I just hear that right
-1.0,0.0,Sore legs suck
0.0,1.0,build this on
1.0,1.0,patient
-1.0,0.0,it didn't bring anything new really
0.0,1.0,where would
0.0,1.0,in the city
0.0,1.0,ok! No txt yet from Ann
-1.0,0.0,drained
-1.0,1.0,inappropriately
0.0,1.0,Yeah let's try an alternative route.
0.0,1.0,what's all that about?
1.0,1.0,carefully
-1.0,1.0,no idea how to answer it
-1.0,0.0,It's a bit quiet in here
-1.0,1.0,and I wish things like this don't happen
0.0,1.0, U_M hai hai who is there?? U_M belum hiks help me
1.0,1.0,intriguing
-1.0,0.0,back is swollen
1.0,1.0, U_M Aww sounds like fun lol. I'm sat inside doing some computing revision It's in 2 days and I've got A LOT to learn!
1.0,1.0,looks good
1.0,1.0,this image makes me feel calm and happy
1.0,low activation,uninterested
-1.0,1.0,No picnic my phone smells like citrus.
0.0,1.0,My father taught me how to mow the lawn
0.0,1.0,Place meeting you
-1.0,-2.0,The sun doesn't seem to want to shine today and so am I.
1.0,1.0,Good.Afternoon.
-1.0,1.0, U_M I'm disapointed in her as well xoxo
0.0,1.0,what's the weather like DATE
-1.0,1.0,flaw
1.0,0.0,quaint
1.0,1.0,facilitate
-1.0,1.0,trivial
0.0,1.0,This is the url link you can click
0.0,0.0,for further questions please call this number on the screen
-1.0,1.0,Bleh had a really bad dream
1.0,1.0,willingness
0.0,1.0,what is the digital brain
0.0,0.0,sure
1.0,1.0,integrated
0.0,1.0,how are you?
-1.0,0.0,kinda sad cause
0.0,1.0,that she's not
0.0,1.0,Can I help with another question today
1.0,1.0,looks fun
0.0,1.0,so much to be said
0.0,1.0,some of the
-1.0,1.0,lose
-1.0,1.0, U_M That's nothing I had to wait 2 months for NTT to install internet at our place
0.0,1.0,testing
0.0,1.0,are you good
1.0,1.0,"""""Absolutely great tour!"""
0.0,1.0,in
-1.0,-1.0,stale
-1.0,0.0,Mildly
0.0,0.0,Police arrested her on behalf of Inland Revenue.
0.0,1.0,going to say goodbye PERSON_NAME
1.0,1.0,"""I can sniff out the perfect card for you, which is quite a feat considering I can't smell anything."""
-1.0,1.0,unconcerned
0.0,0.0,Does a civil suit create legal precedence? Edit: I'm assuming it's a civil suit.
0.0,1.0,can you turn the left
1.0,1.0,graceful
-1.0,0.0,feel pretty bad
1.0,1.0,smooth
0.0,0.0,Is this coming to ps4 at same time?
1.0,1.0,conversation sounds natural
1.0,1.0,pert
0.0,0.0,I haven't been to that forest.
0.0,1.0,But another way.
0.0,1.0,I saw that woman the other day.
0.0,1.0, never?
0.0,0.0,what do you like to do
0.0,1.0, U_M find me on facebook URL
1.0,1.0,Congrats! How are you feeling about it?
0.0,1.0,No insults.
0.0,1.0,Can you reapeat that again please?
-1.0,irrelevant,irrelevant
0.0,0.0,"""When it's the same composer, this kind of thing is bound to happen."""
0.0,1.0,oh at
0.0,1.0,Why would you want to do this?
1.0,1.0,yeah it's a happy calm
1.0,1.0,nice that you have firm my yes
1.0,1.0,I feel calms
1.0,1.0,freshness
1.0,0.0,it's easy to use
0.0,1.0,what's a conjunction
0.0,1.0,that's it
-1.0,1.0, U_M I was wrong He meant Show Low. LOL
-1.0,0.0,cumbersome
1.0,1.0,assure
0.0,1.0,Medley?
-1.0,-2.0,no thanks not on this stage
0.0,1.0,PERSON_NAME
1.0,1.0,think
-1.0,0.0,inconvenience
-1.0,1.0, U_M hi! something seriously went wrong with our internet connection i just hate it.
1.0,1.0, U_M Good Morning Hope you have a Fantastic Day!!
-1.0,1.0,unhappy don't like it
-1.0,0.0,not a good start to the holidays
-1.0,-2.0,rubbish
1.0,0.0,"""He isn't as big, but he's still quite popular. I've heard the same thing about his content. Never watched him much."""
1.0,1.0,cleverly
1.0,1.0,abundant
-1.0,-2.0,banal
0.0,1.0,morning all. First day back at work
-1.0,0.0,a bit concerned and
0.0,1.0,One more thing to try.
-1.0,1.0,it's a bit stupid I think
0.0,1.0,can you tell me a joke
1.0,1.0,well they look really cute so
-1.0,-1.0,inattentive
-1.0,1.0,no I have not
-1.0,0.0,inefficient
1.0,1.0,good thank you
0.0,1.0,how old are you
0.0,1.0,can you check my bank account
0.0,1.0, for now
1.0,1.0,my name is
0.0,1.0,what do you think it's like a driver saying
0.0,1.0,what music do you like
1.0,1.0,is it good?
0.0,0.0,where is Aldi in LOCATION
0.0,1.0,what is a digital human
0.0,1.0,these guys
-1.0,1.0,why do you blink so much
1.0,1.0,no longer bad now
0.0,0.0,recording stuff
1.0,1.0,it's a cute doggy
0.0,1.0,another few weeks I've been told How are you? I've been a little bit busy with my latest project.
-1.0,1.0,Injury history alone makes him super unattractive.
1.0,1.0, U_M Lol Thank U thank U Wassup?
-1.0,1.0,"""There are some scammers. Support is very weak,"""
1.0,1.0,open doors
