,Anonymized Message,Avg_Valence,Avg_Arousal,Valence_Scaled,Arousal_Scaled
402,4 dollars and a ham sandwich!! -Anonymous professor,5.0,4.0,0.0,-1.0
403,If anyones interested im selling my ps3 eye toy camara for $20 or $25 so yeah. just comment if you want to buy one cause ive got 3 and i need to sell 2.,5.0,1.0,0.0,-2.0
404,Why am I the only one who doesn't know how to upload pics from my phone to facebook?? Gotta figure this out...maybe its this damn palm centro I have!,4.5,4.5,-1.0,-1.0
405,is sick dammit,4.0,2.0,-1.0,-2.0
406,I'm excited to have just purchased a bunch of new workout clothes! Wo-HOO! There's no better motivation in my book!,7.0,5.5,1.0,0.0
407,OMG 2010 creeping up,5.0,3.5,0.0,-1.0
408,Having fun with my sis and Halloween oreos.,6.0,1.5,1.0,-2.0
409,Championship Or Nothing-Los Angeles Lakers,5.0,3.0,0.0,-2.0
410,"less than 4 hours til the Big Day\!!!!!!!!\""""",6.5,8.0,1.0,1.0
411,My Michele..life would suck without her...,6.0,3.0,1.0,-2.0
412,Thanks again everyone,6.0,1.0,1.0,-2.0
413,The photos rock! Thanks Fiona! * Hugs *,7.0,5.0,1.0,0.0
414,"little bit drained, alittle bit pumped... but mostly ready to crawl under the sheets!!! FUN??",6.0,6.5,1.0,0.0
415,"When we react to life from the head without joining forces with the heart, it can lead us into childish, inelegant behavior that we don't respect in ourselves. If we get the head in sync with the heart first, we have the power of their teamwork working for us and we can make the changes we know we need to make.",6.0,2.5,1.0,-2.0
416,Mondays are murder,4.0,2.0,-1.0,-2.0
417,tomorrow: birthday <3. sunday: singles awareness day :). monday: practice :/. text me?.,6.0,4.0,1.0,-1.0
418,"says: Life is Music, Play it LOUDER",5.5,3.0,0.0,-2.0
419,"I am SO tired of family drama.  It seems like the older you get, the more convinced you are of the right to act like a total asshole.",3.0,3.5,-1.0,-1.0
420,"..morning everyone!mwuahh...sleep nah q,.,open p q 8am..^.^",5.5,3.5,0.0,-1.0
421,Its hard to be optimistic when it feels like the world is against you... ALL I WANT IS A FUCKING CAR!,3.5,7.0,-1.0,1.0
422,"JUST SO I UNDERSTAND THIS... YOU PASS THE NORTH KOREAN BORDER ILLEGALLY YOU GET 12 YRS. HARD LABOR, YOU PASS THE AFGHAN BORDER ILLEGALLY YOU GET SHOT. YOU PASS THE AMERICAN BORDER ILLEGALLY YOU GET A JOB, DRIVER'S LICENSE, ALLOWANCE FOR A PLACE TO LIVE, HEALTH CARE, EDUCATION, BILLIONS OF DOLLARS SPENT SO YOU CAN READ A DOCUMENT. WE CARRY PASSPORTS IN OTHER COUNTRIES OR FACE JAIL TIME. REPOST THIS IF YOU AGREE",3.0,4.0,-1.0,-1.0
423,"I hate this kind of status, but...I'm at work all day. So txt and I'll get back to you asap :) haha ewwww I did it, I caved to the FB monster!",6.0,5.0,1.0,0.0
424,ON OUR WAY TO FLORIDA,6.0,6.0,1.0,0.0
425,would like to say a huge thankyou for all the lovely birthday wishes. i had a lovely relaxed day now i am getting old this is all my body can take.,7.0,3.0,1.0,-2.0
426,"Yes everyone i am alive!! I am OKAY i just don't have a phone still so i haven't been able to keep in contact with everybody. Had fun on Halloween Nevaeh was a little kitty cat, i'll have pics up soon",6.0,5.0,1.0,0.0
427,Sibling war! It's on!!! Copy and paste this if you are the sibling who spends way to much time on facebook!!!!!!!!!,5.0,7.0,0.0,1.0
428,is so glad to be home from work.Merry Christmas to all.,7.0,2.5,1.0,-2.0
429,cant wait going to buy my new truck tomarro,6.5,3.5,1.0,-1.0
430,"I am a jack of all trades, yet master of none.",4.5,1.5,-1.0,-2.0
431,"The scripture says, No one who believes in him will be put to shame.\\""""",5.0,2.0,0.0,-2.0
432,It's too cold out here for baseball today.  Why me?,4.0,2.0,-1.0,-2.0
433,"I hurt ma foot evry1!!! :( me sad, haha not really! XOXOX",6.0,6.0,1.0,0.0
434,thinks Facebook is kinda fun,6.0,1.5,1.0,-2.0
435,in love with Aida.,7.0,1.5,1.0,-2.0
436,Just uploaded a mass of weird pics lol I'm wondering what you think of em!,6.0,4.5,1.0,-1.0
437,"HELLO FB friends virus spreading like wildfire,	it is a trojan virus worm CALLED Koobface. It will steal your information,	attacking your computer andshut it down! and Do not open the link 	(Obama Clinton Scandal), and if SMARTGRRRL15\ add you as a friend""",4.5,3.5,-1.0,-1.0
438,"Thanks to everyone who left a comment on my wall (: . . . i would reply to them all, but i dont have a spare twenty minutes. i love youuuu Ã¢â„¢Â¥",6.5,3.5,1.0,-1.0
439,can other IT savvy people out there answer this question?  I posted it on answers and I've been trying to figure out what the hell is wrong with this stupid thing and I can't seem to find it...,4.0,3.0,-1.0,-2.0
440,BARCELONA SUCKSS hahaha ARSENAL 2-1 CMON BABY!!!!!,6.5,7.5,1.0,1.0
441,is memory full! can't think of anything today........grrrrrr.....!,3.5,5.0,-1.0,0.0
442,Thank you everyone you make me feel so loved :),8.0,4.0,1.0,-1.0
443,Looks as if someone shook the snowglobe.,5.0,1.0,0.0,-2.0
444,"We don't love qualities, we love persons; sometimes by reason of their defects as well as of their qualities................",5.5,1.5,0.0,-2.0
445,SCHOOL TOMORROW DANGIT,3.5,5.5,-1.0,0.0
446,How ya doin peeps?,5.0,2.5,0.0,-2.0
447,holy shit i drew today. More to come!,6.0,5.0,1.0,0.0
448,I am the luckiest person in the world to know so many fantastic beautiful people - loves to you all!!!,7.5,7.0,1.0,1.0
449,I think about chicken soup!,5.5,6.0,0.0,0.0
450,Wants to see how creative my facebook friends r. Leave a one word comment that u think best describes me using the THIRD LETTER OF UR FIRST NAME. It an only be one word! Then copy and paste this to ur wall so i can leave a word about u! Dont just comment and not copy and paste! Play along. Have fun!,6.0,4.5,1.0,-1.0
451,SOLs tommorow...ughh,4.0,3.0,-1.0,-2.0
452,peeps bye... :P,5.0,3.0,0.0,-2.0
453,"Ã¢â‚¬Å“And in the end, it's not the years in your life that count. It's the life in your years.Ã¢â‚¬Â",5.0,2.0,0.0,-2.0
454,SICK OF CRYING TIRED OF TRYING YEAH,3.5,5.0,-1.0,0.0
455,Owl city <3,6.0,3.0,1.0,-2.0
456,i only hope everyone go an vote unc on de 24th rather than they stay home an drink like dey win already,4.5,3.0,-1.0,-2.0
457,bad hair day :\\ whatever ima bring ppl cookies! n make em happy!! YAY!,7.0,6.0,1.0,0.0
458,well then the question is who spoil who first??????,4.5,4.5,-1.0,-1.0
459,is going to sleep under the stars! :D,6.5,5.5,1.0,0.0
460,bored as crap,3.5,3.0,-1.0,-2.0
461,"Happy 4th yo! Now, let's see some pretty lights and explosions...not necessarily in that order in or in same time frame! XD",7.0,5.5,1.0,0.0
462,Man im sore all over from excercising to hard tonight i think i pulled a muscle this time ow ow ow,4.0,3.0,-1.0,-2.0
463,once upon a time...i gave a shit,4.5,2.5,-1.0,-2.0
464,Cant wait till wednesday cause im goin to Angels house and not goin home till Monday!,7.0,4.5,1.0,-1.0
465,So tired been up for 22 hours and I still can't go to bed it's shitting me off,3.0,4.0,-1.0,-1.0
466,"Here I sit @ my computer, suffering with a head cold. While Lil <PERSON> watches SpongeBob.",4.5,3.0,-1.0,-2.0
467,"Everybodys got something they can give, and that can be prevented by using the dental dam.",5.0,1.5,0.0,-2.0
468,Ã¢â‚¬Å“A child's life is like a piece of paper on which every passerby leaves a mark.Ã¢â‚¬Â -Chinese proverb,5.0,1.0,0.0,-2.0
469,Tonite...let me think...:))) it's gonna be FUN!!,7.5,7.0,1.0,1.0
470,dead fb~LOL,5.5,4.0,0.0,-1.0
471,am i d 0ne to blame??????????,3.5,5.0,-1.0,0.0
472,I am so excited for tomarrow !!!!!,7.5,7.5,1.0,1.0
473,Up past my bedtime wheeee! Waiting for <PERSON> and <PERSON> to come home.,6.5,5.0,1.0,0.0
474,wat do u get when u grow your hair??????? greater and visible HAIRFALLLLL........!!!!!!!,5.0,7.5,0.0,1.0
475,ITs great morning to hit the gym!!!!,7.0,6.5,1.0,0.0
476,is going to bed to try to sleep!  aahhhh,5.0,4.5,0.0,-1.0
477,"OMG  My aunt Gayle from Chicago just said she was having a brain boomer\ LMAO\""""",6.0,5.0,1.0,0.0
478,"LOL: some people let 2 pigs loose in their skool..but before they did...they labelled the pigs 1 and 3...so when the principal, etc found the two pigs labeled 1 and 3..they were searching all over for a pig labelled 2...this pig didn't exist XD..love it",6.5,4.0,1.0,-1.0
479,i get to wear my uniform every thursday now yay,6.0,3.0,1.0,-2.0
480,"Is spending another lazy day at home, and liking it.  Although admittedly it is becoming boring.  I may actually have to venture out and join the human race again.",5.5,2.5,0.0,-2.0
481,"A huge lesson for me was that if I was gonna be successful, I had to be successful as myself - I couldn't be successful doing what other people were doing. I had to do what I believed in and what felt real to me and felt true to me, because the worst thing to be is successful as someone else. - Jay-Z",5.5,1.5,0.0,-2.0
482,"How do you say Disip in Spanish Disip Gazzman Wilton Djkompa Disip Versace Michael Adolphe Chancy , I want tell my Dominican girlfriend since have never heard of any such name..She asked me if that the name of a drink...lol.",5.0,2.5,0.0,-2.0
483,todays my birthday woohoo.,6.0,3.0,1.0,-2.0
484,About to take the JEOPARDY! Teen Test.,5.0,2.0,0.0,-2.0
485,is love and peace.,7.5,1.5,1.0,-2.0
486,"Yest nite @ 2 am earthquake in delhi, felt d tremors for d 1st tym in my lyf!!! Thank God I'm still Alive!!",6.0,7.0,1.0,1.0
487,Happy new Year yall,6.5,2.5,1.0,-2.0
488,"friends do come and go,,, and I'm very thankful for those who chose to stay,,, 'coz they think that I'm a PERFECT FRIEND for them.. through all the trials we encountered, still, we stick together!! i love you GFs & BFs!!!",7.5,6.0,1.0,0.0
489,yiiiiiiiiiiiiiiiiiiiiiiiiiiiiiippeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee!!!!!!!!!!!!!!!!,7.0,9.0,1.0,1.0
490,sick and tired of being sick and tired!,3.0,4.5,-1.0,-1.0
491,merry christmas everyone!!!!!!!!!!!!!!!!!!!!!!!,7.0,8.0,1.0,1.0
492,Duuuude... I'm BRAIN DEAD right now... and mellow... like REALLY mellow... no homo,4.5,3.5,-1.0,-1.0
493,"Cheesiest joke I've seen all day: I'm a frayed knot. hahahahah! What, you don't like that?",5.5,4.5,0.0,-1.0
494,LOL this sight keeps telling two of my freinds are Idiots.,5.5,3.5,0.0,-1.0
495,Mr. Rager - KiD CuDi,5.0,1.0,0.0,-2.0
496,watching my dog. anyone wanna do anything tonight?,5.0,1.0,0.0,-2.0
497,House M.D =D,6.0,3.5,1.0,-1.0
498,thinks that being sick is so not cool...,3.5,3.0,-1.0,-2.0
499,"Well, time to get everyone ready....Jeremy is singin at graduation, Jasmine is going to her cousin's, Korina is going to grammy's and I have to go to work....catch everyone laterz!",5.5,3.5,0.0,-1.0
500,is a busy little bee.,5.0,2.5,0.0,-2.0
501,Scared. I hate this feeling. Im never scared.,2.5,3.0,-1.0,-2.0
502,my computer's too slow. speed it up buddy!,4.0,4.5,-1.0,-1.0
503,Yeah brithday party at shyanne house  It my god sister brithday,5.5,2.0,0.0,-2.0
504,just got bk frm spain nd im soo tired but got a tan nd had great time :-),7.0,3.5,1.0,-1.0
505,Happy Veterans Day to all I have served with and all who has served!!,7.0,5.0,1.0,0.0
506,try'n to figure out how to adopt this pet???,5.0,4.0,0.0,-1.0
507,Thanks all for Birthday wish,6.0,2.0,1.0,-2.0
508,maine :),7.0,2.5,1.0,-2.0
509,Happy hump day!,6.0,4.5,1.0,-1.0
510,"I could never figure out why people could hurt the ones they love the most, who would have thought  I would turn into someone like that. what else can I say except that I'm sorry, I'll change. They aren't empty words I'll prove it I promise I'll find a way to brings things back to the way they were, I won't push you away anymore. Thank you to the friend that was there for me and never gave up on me.",5.0,4.0,0.0,-1.0
511,Life ish about giving and takeing~ <3 .................................... *Whispers* But try to be the one who's takeing! XD,5.5,5.0,0.0,0.0
512,"Two roads diverged in a wood, and IÃ¢â‚¬â€	I took the one less traveled by,	And that has made all the difference.",5.0,2.0,0.0,-2.0
513,Thanks everybody for the wonderful birthday wishes!!! Luv ya! :),7.5,6.0,1.0,0.0
514,Thank you all for your wishes!!,6.5,5.5,1.0,0.0
515,I love the smell of spring,7.0,1.5,1.0,-2.0
516,Yay i assed my geometry exam! Now to take <PERSON> test and i am good! :),6.5,5.0,1.0,0.0
517,"You know how you have those people that are always telling you what you've done wrong or how to live your life, you know why? Cause there life is shit and unfixable, so they think by helping you helps them. I say fuck that do what you want when you want people, it's your life not there's.",4.0,3.5,-1.0,-1.0
518,The only courage that matters is the kind that gets you from one moment to the next. ~Mignon McLaughlin,5.5,1.0,0.0,-2.0
519,WAR EAGLES lets finish them off,5.5,3.5,0.0,-1.0
520,"hmm jnr still vomiting guess I should stop giving him water and crackers, hope this is only a 24hr thing",4.5,2.0,-1.0,-2.0
521,life is bitter sweet and sour like red wine.... hahahahaha,6.0,3.5,1.0,-1.0
522,Tinychat time! Click the link to come me - <URL>  (tinychat.com),5.0,1.0,0.0,-2.0
523,Thanks to everyone for the Birthday Wishes!!,6.5,5.0,1.0,0.0
524,"loves making friends through a battle of wits and a few bruises to the ego. Thanks everyone for the birthday wishes!!! (those who wished me a happy birthday, that is...)",6.5,5.0,1.0,0.0
525,I have yet to acquire the taste for beer :P,5.0,2.5,0.0,-2.0
526,YAY! Finally 15! Thanks so much to everyone for wishing me a happy one!,7.0,6.0,1.0,0.0
527,successfully saved his energy for this afternoon's Rag Ball. Should be quite the epic day it should.,6.0,3.0,1.0,-2.0
528,Rockband Karaoke at Buffalo Wild Wings! Come rock out at the Gay Bar!,6.5,5.0,1.0,0.0
529,"Sad. Sitting in Coffee Shop, Planing my plan.",3.5,2.0,-1.0,-2.0
530,"Monday, yup!",5.5,4.0,0.0,-1.0
531,"So tired.. 12.5 hours of driving is a lot for one day (that is only travel time, not including breaks + lunch + fuel).  Had a nice 1.5 weeks in k-town, unfortunately got sick for my b-day - least I was mostly better for the drive back.  May post more details later.",4.5,2.0,-1.0,-2.0
532,im not lazy ive just been overcome by gravity!!!,5.0,5.0,0.0,0.0
533,haha jane your the only mate bawbag deleted!!!! pmsl hun.xxxxxxxxxx,5.0,6.5,0.0,0.0
534,realize how much Mondays suck again. May this week end quickly.,4.0,1.5,-1.0,-2.0
535,THE STREAK IS OVER!!! LIONS WIN!!!!!!!,7.5,8.5,1.0,1.0
536,"Hey if  you had sex with you from another universe and the were the other gender what would called it and you had kid from that be a clone, just somthing i was wondering",5.0,2.0,0.0,-2.0
537,"kids are in bed, i'm watching tv and getting ready for bed also",5.0,1.0,0.0,-2.0
538,Watching Anchorman with <PERSON> :),6.0,2.5,1.0,-2.0
539,broncos to superbowl XLIV,5.0,1.5,0.0,-2.0
540,Can I make a little hole in the tank and drain them dead?... :P,5.0,2.5,0.0,-2.0
541,is thinking we need to invent a contraceptive for laundry baskets since every time I turn around it's reproduced!,5.0,4.0,0.0,-1.0
542,got a new pic does any1 like it?,5.0,3.0,0.0,-2.0
543,Always remember that you are unique. Just like everybody else.,6.5,1.5,1.0,-2.0
544,is starting to get nervous about starting a new position.,4.0,2.5,-1.0,-2.0
545,"Get to work and you will get the tools\!\""""",5.5,4.0,0.0,-1.0
546,I am soooo excited about the movie For Colored Girls,6.0,4.0,1.0,-1.0
547,"thanks for all the birthday messages, rightg now i am definately feeling a year older!",6.0,4.5,1.0,-1.0
548,SOOOOOOOOOOOOOOOOOO FFFFUUUUUCCCKKIN TIRED I BEEN COOKIN ALL GOT DAMN DAY SHIT A NIGGA CANT GET NO KINDA BRAKE ITS ALL GOOD DOUGH LUCKY I LOVE MY MOM,4.5,8.5,-1.0,1.0
549,Need 2 b doing class work!,4.5,4.5,-1.0,-1.0
550,Customer: I want a hot fudge sunday,5.0,1.0,0.0,-2.0
551,"happy 1st monthsarry to us. ,>",6.5,2.5,1.0,-2.0
552,"is going to do some cleaning around this house go throught the girls clothes, what fun today!!!!!!!!!",5.0,6.5,0.0,0.0
553,I hope the dance isn't gonna suck this time,4.0,2.0,-1.0,-2.0
554,kick ass dinner with my hubby and now a nice evening at home by the fire havin some fun... :),7.0,3.5,1.0,-1.0
555,I AM SO TIERD OF THIS JERSEYSHORE SHIT.THEY NEED TO BRING THOSE CAMARAS TO MY NECK OF THE WOODS I WILL SO THEM REALITY.,3.0,6.5,-1.0,0.0
556,"A true friend doesn't care if you're broke, when your house is a mess, about your past, or if your family is full of crazies... They love you for who you are! A true friend can go long periods of time without speaking to you & never question the friendship! REPOST if you are blessed enough to have at least one true friend. They will know who they are",6.5,2.5,1.0,-2.0
557,"For my birthday I would like my family (and friends of) to give me one memory of my Dad, no matter how small.",5.0,1.5,0.0,-2.0
558,"Choose your FRIEND very carefully, because they will become your INTRODUCTION!!!!!",5.0,6.5,0.0,0.0
559,Why is it raining?!?  It's not supposed to rain!  So sad...,3.0,5.5,-1.0,0.0
560,"CERTAIN THINGS R FUNNY TO ME......Y WHEN U TELL A GUY U GOT A MAN DEY STILL TRY TO GET DA DIGITS,BUT WHEN U DNT GIVE IT 2 EM' THEY WANNA TALK SH*T.... PLEASE HELPME UNDERSTAND LADIES (<PERSON> LICKER GO LICK URSELF U CORNBALL)",4.0,6.5,-1.0,0.0
561,Who ever thought God would bless me with a wonderful man a beautiful daughter and a gorgous mother and wonderful family and friends. I DID!,8.0,5.0,1.0,0.0
562,More pics updated,5.0,1.0,0.0,-2.0
563,only a small person carries a big grudge,4.5,1.0,-1.0,-2.0
564,behind your lies i can see the secrets you don't show,4.0,1.5,-1.0,-2.0
565,my body hurts..no mas beer!,3.5,4.5,-1.0,-1.0
566,"i swear if you come back in my life I'll be there till the end of time, and i swear i'll keep you right by my side 'cause baby you're the one i want, i swear!!",7.0,6.0,1.0,0.0
567,just wants to thank everyone for the happy birthday wishes!!!! I love you guys :),8.0,6.0,1.0,0.0
568,"im going to dance camp again!,yes!!!!!! just cuz i graduated doesn't mean the team can get rid of me :)",7.5,7.0,1.0,1.0
569,Goin fishin tomorrow.,5.5,1.0,0.0,-2.0
570,<PERSON> gets his first degree this month!!! I am getting my associates when I get my bachelor's I like to do things all at once LOL!!!,6.0,6.0,1.0,0.0
571,can't wait to get the hell out of this apt,4.0,3.5,-1.0,-1.0
572,"is in Ormond Beach, FL waiting to get unloaded.",5.5,1.5,0.0,-2.0
573,"says Happy Birthday to <PERSON>!!!\.... as deep depression sets in when I try to come to terms that I am the mother of a teenager......\""""",5.0,4.0,0.0,-1.0
574,Bored...,4.0,2.0,-1.0,-2.0
575,Just had a dream of a design of a guitar amp and a guitar right now,5.0,1.5,0.0,-2.0
576,Issues with photos.....but finally have some posted!  Will post more later!,6.0,5.0,1.0,0.0
577,"Lovely day, lovely woman, breakfast, then..............",6.5,2.0,1.0,-2.0
578,"Wait, wait, is that a camera??? I think it is...check the news out, 26 degree weather and we ain't goin nowhere!!! Phi Beta Sigma Fraternity Inc. Presents: Sleep Out For the HomelessDoing our part through demonstration and donation!!! Shout out to 3way ent. as they hosted a successful 2nd annual cover the city drive!!! REMEMBER to ALWAYS BE THANKFUL!!! LET's GO!!! BLUE PHI ALL DAY!",6.5,8.0,1.0,1.0
579,"A still more glorious dawn awaits        Not a sunrise, but a galaxy rise        A morning filled with 400 billion suns        The rising of the milky way   <PERSON>",5.5,1.5,0.0,-2.0
580,"Not my chair, not my problem thats what i always say! light houses rule!...lol",5.5,4.5,0.0,-1.0
581,IÃ¢â‚¬â„¢m selling a '07 Mustang GT in Nitto 1320 Legends! <URL>,5.0,3.5,0.0,-1.0
582,"I take one step awaythen i find myself coming back to youMy one and only, one and onlyI take one step awaythen i find myself coming back to youMy one and only, one and onlyyou...",6.5,3.5,1.0,-1.0
583,Never realised someone could be so self centred! I couldn't live with my self if I had to lie to myself to get to sleep at night. Yes I've Hurt people before but at least when I learn to admit i was wrong I don't expect to be imeadiatly forgiven        .. God damn it,3.0,3.5,-1.0,-1.0
584,Manu won once again against the Arsenal......,5.0,2.0,0.0,-2.0
585,boreddddddddddd...,4.0,2.5,-1.0,-2.0
586,"Sent my big toe half way up my shin bone thanks to toe ala crunch\ via the door jamb........... Maybe It's time for new glasses? Foot reduction is also an option :)\""""",5.5,3.0,0.0,-2.0
587,college's closed till semester.....itz so cold n v hv been releived frm gtng up at 5 in d mrng...,5.0,2.5,0.0,-2.0
588,That awkward moment when you're chilling with you're m8s and then an fucking ugly sewer rat pops up and won't leave :/,4.0,3.0,-1.0,-2.0
589,"Telling someone that they are full of bullshit today never felt so good. Even if it wasnt nice to say, the truth felt so great to unleash.",6.5,3.0,1.0,-2.0
590,YA ALLAH....... HELP US.....:'(,2.5,6.0,-1.0,0.0
591,yo mamma is so stupid she sat down on theÃ¯Â»Â¿ tv and watched the couch HAHAHA!! just heard this today!! xD no offense to the moms but this is hilarious,6.0,6.5,1.0,0.0
592,"aargh i don't like apps that automatically do updates, no i haven't been getting my daily tarot, i did it once and then it's all barfing up on my profile all the time. app removed.",4.0,3.5,-1.0,-1.0
593,wants it to snow like a huge blizzard type thing and to go sleding,6.0,2.0,1.0,-2.0
594,Getting ready to have dinner with my family. Having a good birthday.,7.0,1.5,1.0,-2.0
595,"Most frequent facebook word of the day: mindmap\.\""""",5.0,1.0,0.0,-2.0
596,i made ittttt(:,6.5,3.5,1.0,-1.0
597,"When we wake in the morning, we have two simple choices, Go back to sleep and dream, or wake up and chase those dreams, The choice is yours! )",7.0,4.0,1.0,-1.0
598,How long could I stay in bed if I put my mind to it?,5.0,1.5,0.0,-2.0
599,Thank You for the great times :) You helped change my life. Ill love and think about you forever! xox,8.0,4.0,1.0,-1.0
600,Breakfast time!,6.0,4.5,1.0,-1.0
601,"y does every1 i like soo much breaks my heart? little by little i break down, i cant stop my emotions, i cant understand it either...im losing it..idk wut to do w/ my life..i thought i knew but now i dont noe..",2.0,3.0,-1.0,-2.0
602,"Quote Of The Week No one is perfect. Every makes mistakes; but wise people learn from not only them but from other.\\""""",6.5,2.0,1.0,-2.0
603,I LOVE Justin Bieber!<3,6.5,5.0,1.0,0.0
604,...yii...,5.0,2.0,0.0,-2.0
605,20min,5.0,1.0,0.0,-2.0
606,AWW I need to save up for a (Ear) Tube Job instead of A BOOB Job! LOL My Ear is hurting a lil along with my throat...I dont wanna lose my voice! AGAIN!,3.5,6.0,-1.0,0.0
607,zzzzzzzzzzzzzzzzzzzzz,5.0,1.0,0.0,-2.0
608,"i will not bow, i will not break, i will shut the world away. i will not fall, i will not fade, i will take your breath away",6.0,3.0,1.0,-2.0
609,just bought a trumpet...! Though the other marines in the barracks might not me as happy... :D now all I have to do is wait for it to come! yay! And perhaps go buy some music books...,7.0,4.0,1.0,-1.0
610,Is stoked because my best friend comes home tomorrow!!!!!,7.5,7.5,1.0,1.0
611,*~my life has got so much better in the past 4months... i couldnt ask for more.. soo greatful~*,8.0,2.0,1.0,-2.0
612,yall need to shut ur mouths cause im fixing to slap the shit outta u 2..,3.0,4.5,-1.0,-1.0
613,It's DoppelgÃƒÂ¤nger week! Change your profile picture to someone famous you have been told you look like.,5.0,3.5,0.0,-1.0
614,goes home on Monday. The mountains have been fun.,6.0,1.5,1.0,-2.0
615,"single and looking, jeez, what's a dude have to do to get some attraction",4.0,3.0,-1.0,-2.0
616,Tireeeeeeedddddd,4.0,2.0,-1.0,-2.0
617,i would like you to comment on jut in my head,5.0,1.5,0.0,-2.0
618,So getting my teeth pulled was not bad at all. I am just waiting now to feel my mouth again.,5.0,1.5,0.0,-2.0
619,Is anyone feeling like killing <PERSON>..??,4.5,4.0,-1.0,-1.0
620,bad night. didn't get home til 4:15.....sometimes I wish...,3.0,2.5,-1.0,-2.0
621,pooped out!!!! and tomorrow is another full day....,4.0,6.0,-1.0,0.0
622,I hate my phone with a serious passion and wish it would blow up sometimes.,3.0,3.5,-1.0,-1.0
623,fuck fuck fuck,2.5,3.5,-1.0,-1.0
624,Out in the middle of pickwick in my kayak reading a book. Thanksgiving rulez,6.5,3.0,1.0,-2.0
625,& super terimakasih untuk semuanya atas doanya & ucapannya. Have a zoom zoom day everyone! :D :D,6.5,5.0,1.0,0.0
626,i am a raging homosexual and i hacked brandons facebook - <PERSON>,4.0,3.5,-1.0,-1.0
627,internal on monday:(,3.5,3.5,-1.0,-1.0
628,received a lovely surprise card from <PERSON>!! :) HappieeEEeE!! :P,7.0,7.0,1.0,1.0
629,Just started a facebook... not entirely sure why.,4.5,2.0,-1.0,-2.0
630,tonight. rave. :]],6.5,3.5,1.0,-1.0
631,"Met a girl, fell in love, glad as i can be met a girl, fell in love, glad as I can be But i think all the time, is she true to me? Cuz there's nothing in this world to stop me worryin bout that girl",5.0,3.0,0.0,-2.0
632,"Well, since I can't sleep, I might as well clean the house. I've already been awake for more than 33 hours, seriously, what the fuck... Maybe its becuase it's my birthday, woohoo.... 27, I tell myself its just another day but, thats not what I'm really thinking...",3.0,3.5,-1.0,-1.0
633,"stayin onto somthn,always -i m talkin about that indefinite numb u experience when u stare into space thinkng about stuff u wished u do, u did'nt & u did which gave no returns but past time for nothin.",2.5,3.0,-1.0,-2.0
634,Hi,5.0,1.5,0.0,-2.0
635,Everyone I won't be using CafeWorld anymore so don't send gifts please!! i will keep my profile up for it in case u need neighbors :-),6.0,4.5,1.0,-1.0
636,Says <PERSON> likes feeling Sexy,5.5,2.0,0.0,-2.0
637,im addicted to these facebook games,5.0,1.5,0.0,-2.0
638,so here is my question why is it so hard to find someone to trust to believe in and that also believes in you and trust you,3.0,2.5,-1.0,-2.0
639,Studying and cleaning and packing all long time still,5.0,1.5,0.0,-2.0
640,Last exam tomorrow - Math 9,5.0,1.0,0.0,-2.0
641,"All intelligent people should be cremated for reasons of public security.--The Amazing Screw On Head, and the show that really should have gotten onto Sci Fi.",5.0,1.5,0.0,-2.0
642,"If the king does not move, his subordinates will not follow",5.0,1.5,0.0,-2.0
643,"<PERSON> 1:13-14           13 Let no one say when he is tempted, I am being tempted by God, for God cannot be tempted with evil, and he himself tempts no one. 14 But each person is tempted when he is lured and enticed by his own desire. #Bible <URL>",4.5,1.0,-1.0,-2.0
644,I'm totally out of invites for Mafia! I'll get you all asap.,5.0,3.5,0.0,-1.0
645,is wondering if there is anything interresting on tele tonight? :/ XXXXXX,4.5,3.0,-1.0,-2.0
646,thanks to all my friends buat ucapan happy birthdaynya he3 traktirannya nyusul ya ha3,6.0,2.5,1.0,-2.0
647,may 18th better be the day i get to move into my new house or those sex crazed people were buying it from and going to get a little vist :),5.5,3.5,0.0,-1.0
648,I could really use a miracle about right now,4.0,2.5,-1.0,-2.0
649,Its my fourth year at EGGS this year - first year for teaching Year 13 Chem and is been hard work - feel very satisfied now though.,6.5,1.5,1.0,-2.0
650,ugh... so on second shift schedule..,4.0,2.5,-1.0,-2.0
651,"Your voice was the soundtrack of my summer        Do you know youre unlike any other?        Youll always be my thunder, and I said        Your eyes are the brightest of all the colors        I dont wanna ever love another        Youll always be my thunder        So bring on the rain        And bring on the thunder",6.5,2.0,1.0,-2.0
652,thinks that a person shouldn't wait until high school to show their true colors,4.5,2.5,-1.0,-2.0
653,"Today, tomorrow, Friday, Saturday, then move in day!!!",6.5,5.5,1.0,0.0
654,"love is confusing...a guy tells u ur gorgeous and he turns the lights off ,)",5.5,3.0,0.0,-2.0
655,Working hard to giv my new family a good life,7.0,1.5,1.0,-2.0
656,ok god u can turn off the faucet now,5.0,2.5,0.0,-2.0
657,"here is a question I got stumped on for a little while taking a quiz. can anyone answer it? The three great unifiers of Japan were Oda Nobunaga, Toyotomi Hideyoshi, and Tokugawa Ieyasu. A popular poem exists about these unifiers. It reads:        If the bird does not sing, kill it.        If the bird does not sing, coax it.        If the bird does not sing, wait for it.        Which unifier coaxed\ the bird?\""""",5.0,1.0,0.0,-2.0
