Arousal, Phrase
1.5, oh so tirrred.. to behave? or not to behave........
1.5, Oh to a green lump of putty i found in my armpit one midsummer day
1.5, ok so im selling some ipod touch(s) 1gen (16g) and 3rd gen (32g) i have all the goodies that come with them and the original boxes both in really good condition but i have no need for them shoot me a bid :)
1.5, Ok. All done with the beach today. Might do the Promenade tonight or tomorrow.
1.5, ok... just finished reading the latest bleach manga. so <PERSON> still plans to milk bleach even more by starting a new arc. I wonder if <PERSON> would start from scratch again here? it also looks like <PERSON> would have a bigger role.
1.5, Out n About. c/t
1.5, Paitence is a virtue i really need to work on.
1.5, patiently waiting out the days
1.5, Played Mass Effect 2 with beer in hand most of the weekend ^^
1.5, pp
1.5, rawr
1.5, Ready to get home with <PERSON> and get our snuggs on.
1.5, realises that with no homwwork there really is nohting to do before youth
1.5, realize how much Mondays suck again. May this week end quickly.
1.5, Really tired this evening.  Been cleaning all day and now its time to relax and call it a day.  Good Monday everyone.
1.5, regrets not taking more unglam photos of the people who took unglam photos of me.
1.5, Remembering the ones who died in the islamic terror attacks 8yrs. ago.  I was at BPC waiting for Bel to get out of class and overheard someone say a plane crashed into a building in the student center.  Then spent about 3hrs with 15-20 people watching one small tv news.
1.5, Rest in peace nick. Things won't be the same anymore when I go back to manila without u there. Goodbye friend.
1.5, right now i wish i had someone to dream a little dream of me.
1.5, sad... just sad..
1.5, school is so boring is it to early to want it to be spring break
1.5, scooby doo would be a better show if they had guns
1.5, she gives me presents with her presence alone
1.5, Sigh.....
1.5, So getting my teeth pulled was not bad at all. I am just waiting now to feel my mouth again.
1.5, So here i am again in the middle of the end and the choice i wish id made i always make to late.
1.5, So...who wants what for Xmas now that Turkey day is over?
1.5, Some nistakes are too much fun to only make once.
1.5, Someone should make a <PERSON> Facts website to compete against Chuck Norris.
1.5, Sorry Texas fans the sec is just to much to handle
1.5, staying up for 24 hours straight is not a good idea but it was worth it
1.5, Still cant beleive that scotland lost to wales
1.5, Studying and cleaning and packing all long time still
1.5, Stupid computer still isn't fixed. Text me @ <PHONE>Hopefully it will be working by this weekend.
1.5, Tengen Toppa Gurren Lagann... it will make any day better
1.5, thank u everybody for wishing me.
1.5, Thank You All for such a wonderful Birthday
1.5, Thank you all for wishing me a happy birthday.
1.5, Thank you everyone for your bday wishes
1.5, thank you guys for the B day wishes
1.5, Thanks again everyone for birthday messages
1.5, thanks everyone for the birthday greetings
1.5, Thanks for all the birthday wishes. It was a great one.
1.5, Thanks for the all Birthday wishes
1.5, Thanks for the b-day wishes to all
1.5, The difference between genius and stupidity is that genius has limits stupidity has no limits.- Albert Einstein
1.5, The fish in the water is silent
1.5, the gargoyle has landed
1.5, The heater and the hot water in my building arent workin. Im about to crash someones house with a bag of cloths and a bar of soap.
1.5, the third crossroad must be the most difficult.... hold on to the memories or let go to start anew?
1.5, there is a fine thin line between wrong and right.
1.5, Things turn out best for those who make the best of the way things turn out
1.5, thinkin bout everything
1.5, thinks Avatar rox
1.5, thinks Facebook is kinda fun
1.5, thinks that he might be slightly addicted to FarmVille.  I wonder if there's a 12 step program.
1.5, Time for anthropology. Talk about fun. Lol
1.5, time for new scientist and chips b4 i head to manc i think
1.5, Time to go shovel the snow.
1.5, Time to log off ...
1.5, time to oil my roadie...
1.5, tired..... zzzz....
1.5, to all the fb family thanks for you bday wishes
1.5, To God be the glory.
1.5, today feels too good to be true. when will that other shoe drop?
1.5, Today is my last day in the states for a bit. China (for real this time).
1.5, Today my son <PERSON>turned 8 so we went to Chucky Cheese and then to Logans for dinner.  We had an awesome time.  Sometimes I wish they didn't grow so fast.  I miss the time when he was a baby and I would fall asleep on the couch with him on my chest.
1.5, Today was a pretty easy day. Tomorrow thats another story. Hope everyone has a better day tomorrow than they did today. Gudnite FB talk to yall again tomorrow.
1.5, trip to mall with karah was a total mess
1.5, trust takes year to build and seconds to destroy
1.5, trying my best to finish the book and send it off to the publisher.  Wish me luck all.
1.5, trying not to sleep all day long
1.5, wants to get a video of the aircraft carrier sinking in Transformers 2. I want to Email it to my dad  >:)
1.5, War on my page. Just need one more person to attack and its over
1.5, watching truck racing w the bf. pretty cool if I do say so myself
1.5, We begin from the recognition that all beings cherish happiness and do not want suffering. It then becomes both morally wrong and pragmatically unwise to pursue only one's own happiness oblivious to the feelings and aspirations of all others who surround us as members of the same human family. The wiser course is to think of others when pursuing our own happiness.
1.5, well orlando couldnt come through but its all good tomorrow starts a new fun filled week of work
1.5, went to juniper last night had a good time with the jeep. got rained on and was soaked when I got home
1.5, what a sity day of mine
1.5, what can I get for free?
1.5, what kind of bees make milk...
1.5, What would you do if I told you there was cheese on the moon?
1.5, whats going on today? its 11 am and im already bored. Hit me up
1.5, When a guy says ur hott hes lookin at ur bodyy.When a guy says ur pretty hes lookin at ur face.When a guy says ur beautiful hes lookin at ur heart.
1.5, when you think that the fire is out stir the coals and throw another log on it. this fire is no where near burnt out.
1.5, where bellvedear?
1.5, Where theres a whip theres a way
1.5, who hates me thumbs up?
1.5, Who is looking forward to the big Arthur's Day tomorrow?
1.5, Who knows the 3 D's
1.5, Why does waiting for the things you want the most in life seem to take the longest to work themselves out?
1.5, Why is there never a job opening for an executioner?
1.5, will this yr ever end.   Lord knows.  hopefully something will happed for the good of all of us. Lets keep smiles and uplifting spirits and maybe it will turn out for the best for all
1.5, Wish i was still in Portugal It was animal Defo goin next year
1.5, wish u all merry cristhmas and happy new year
1.5, wishes she was going to North Carolina with her gorgeous sisters<PERSON> and <PERSON>.
1.5, Wishes she would find someone to love her for who she is and she can love back.
1.5, work-work--work
1.5, Working hard to giv my new family a good life
1.5, Wow
1.5, ya
1.5, yaar mer a mobile no milana thaa i have very long emergency duties nowadays
1.5, yay i didnt do my presentation 2day but gotta do it 2morrow dat suxs so bad
1.5, Yep...yep.
1.5, You can make what you don't understand mean anything.
1.5, you will never see my caring side anymore.
1.5, You'll never hear anybody scream Don't just stand there
1.5, [<l:-P]
1.5, ` that's what you get for waking up in vegas (8) .
1.5, ~Without firiends life is not worth living~
2.0, "Automobile for a man and cosmetics for a woman goes through same analytical        process before buying\ - Prof Dutta         Sorry bansal but simply loved it so copying :P\"""""
2.0, "backpack got stolen, pe teacha hates me. yeaa 2010 isnt going so good -_-"
2.0, "happy navratras to all ,,,,,,,,god bless all with happiness ,health and luck"
2.0, "Having my wisdom teeth cut out Tuesday, hoping it's not gonna hurt too bad. :/"
2.0, "hey frens,,, i lost al ur contact numbrs in ma cell.. pls forward ur number 2 ma cell plssss"
2.0, "I feel like I should clean the house, so I am going to lay down until the feeling passes...:P*"
2.0, "I'm having a bad I miss <PERSON> day\. For no reason...nothing triggered it...kids aren't driving me too crazy. I just miss his laugh"""
2.0, "Im sick, I'm tired, and oh yea, moving takes a lot out of you."
2.0, "It takes courage and honesty to see ourselves as we really are, but it's the only way to become the kind of people we want to be."
2.0, "just finish reading the young warriors by V.S. Reid book i should have read from seventh grade <PERSON> you must be proud of me ,)"
2.0, "Just got back from snowboarding, and is still struggling to sit down. Wipe-outs hurt....A LOT. many thanks to<PERSON> for lending the gear. it works great and kept me nice and toasty on a very cold day on the slopes."
2.0, "liver,bacon,onions mash and gravy mmmm"
2.0, "Lovely day, lovely woman, breakfast, then.............."
2.0, "Man, I have to start getting up early more often. :-|"
2.0, "Mexican food is good. 	Mmm, chimichanga."
2.0, "new locks, new keys, new lashes, night off, i think its time to go out and have a little fun :-)"
2.0, "ok yes bdo show was algood, i got to catch up with like everyone nearly but i did get myself some sunburn :/"
2.0, "Okey dokey, time to scan this newspaper of mine..."
2.0, "Origin of the leap year, just an FYI for those interested..."
2.0, "Put         this on your status if you know someone who suffers from being a         Tottenham fan. Being a Tottenham Fan is a real disorder and should be         taken seriously. There is still no known cure and sympathy does not         help. But we can raise awareness. 90% of Tottenham fans wont repost this         because they don't know how to copy and paste. Join us,to keep         tottenham fans away from our lives......for ever .. :D"
2.0, "Rain, rain, go away come again another day..."
2.0, "Sad. Sitting in Coffee Shop, Planing my plan."
2.0, "The Olive Garden in Jonesboro is not going to be open while I am home:(  Oh well, I can settle for Outback."
2.0, "There are about 350 million guns in the US, and about 250 million cars.  Annually, roughly 42,000 people die in car accidents, and 30,000 people die from guns (half of which are suicides).  So why isn't anyone trying to ban cars?"
2.0, "Today is National Coming Out Day. I'm coming out for lesbian, gay, bisexual and transgender equality because it's 2010 and only five states plus DC recognize that love, not gender, is what matters in a marriage. Donate your status and join me by clicking here:  <URL>"
2.0, "todays a nice cool day -_-\"""
2.0, "u no u want me , u no i dnt want ya :]"
2.0, "uuhh , just saw my very first saw movie (6) im feelin kinda twichy"
2.0, "We should enjoy the little things more and stop worrying about what will happen tomorrow. Take life one moment at a time and make the best of it. For all you gentlement, and gentleladies=) We neeed to invoke the fever and make others like us. The world would be much more brighter."
2.0, "Well, Thank you God for blessing me to see one more year........."
2.0, "Why do I have this sudden, powerful (my wife would describe it differently) need to completely overhaul my house, clean every nook and cranny, and completely reorganize everything in sight?"
2.0, "Why is it hard to find honest friends\?\"""""
2.0, "Your voice was the soundtrack of my summer        Do you know youre unlike any other?        Youll always be my thunder, and I said        Your eyes are the brightest of all the colors        I dont wanna ever love another        Youll always be my thunder        So bring on the rain        And bring on the thunder"
2.0, "Ã¢â‚¬Å“Sometimes you've got to let everything go - purge yourself. If you are unhappy with anything . . . whatever is bringing you down, get rid of it. Because you'll find that when you're free, your true creativity, your true self comes out.Ã¢â‚¬Â"
2.0, ... I'll chase you thru the house and all thru the yard
2.0, ...And boom goes the dynamite.
2.0, 4 days til Indiana:)
2.0, <PERSON> Happy Mother'sz Day : )
2.0, <PERSON> Shortall <3
2.0, <PERSON>hi mr.  I just passed you in restaurant city (:
2.0, Actually make that a horrible day. text me
2.0, Almost done unpackin. House looks beautiful. Lovin life...
2.0, Am I the only one who thinks valentines day isn't that bad?
2.0, aparantly there is a shortage of colgate every body chuppzin
2.0, At the airport. It smells like old ppl in here:(
2.0, brother wantz 2 play in the snow aunt nina..awww he said he dont like snow..nevermind bean..
2.0, Butt set....lol.
2.0, did not get drunk on his 21st birthday. And they said it couldn't be done...
2.0, Did you know that you can make scrambled egg in the microwave? Bachelor tip #77.
2.0, Do you ever feel like you have a lot of people in your life but very few who understand you?
2.0, Dont know if im goin 2 the movies anymore :/
2.0, feeling like a bird sitting high=]
2.0, FFXIII is full of love. <3
2.0, finals D:
2.0, gimme some siomai babeeeh....
2.0, Going to watch Unstoppable...Harry Potter can wait but I want Harry Potter better :(
2.0, Gym time...then I need to fix my mohawk....hair on the sides is getting a little to long...just have to find the electric razor.
2.0, Happy Valentine's Day to all........
2.0, hard day today gonna have a long rest till the next time :)
2.0, Have to work wed. night . . sorry church gang nothing i can do . .
2.0, having a bonfire & roasting smores...then gonna play chubby bunny
2.0, Hey guys my step mom challenged me 1.50 dollars to clean out her cats litter box so with the same with gary i think that is his name. Well i almost died back there it smelt of a rotted turd you wont ever want ot do it but i forgot.
2.0, I am really digging devin Moore #45...he's bein productive 2nite for the colts...I wonder what he can do in a real game
2.0, i cant sleep for shit i ran out of sheep to count a the cows are to fat to jump
2.0, I got elbowed in the mouth playing basketball today.  My lip looks like I got a bad botox injection.  Damn Im not leaving the house. Like I need fuller lips really.
2.0, i guess no one loves me no comments in 3 days oh well i still have ppl that let me know in there own way lol
2.0, i have a feeling my doggie will have puppies today :]
2.0, I offically hate my brother.........Spartacus Blood and Sand. Incrediable
2.0, I think I am allergic to <PERSON>s house.... having major asthma issues
2.0, is going for a Thai birthday meal in Oxford. yum yum
2.0, is hopeful with this home investment plan. :)
2.0, is hoping for some decent weather this weekend....
2.0, is looking forward to girls' night. <3
2.0, is sick dammit
2.0, It is such a nice day out :)
2.0, It's too cold out here for baseball today.  Why me?
2.0, jus chillin i came in second in da 400 and third n da 100 at the purple vs silver track meet today im gettin close 2 pro status
2.0, just bought a phone =]
2.0, just found out the worst news ever so whatever
2.0, Just got back from the Rennissance Festival up in Minnesota with my brother.  He has videos... He will likely be blackmailing me shortly on facebook and myspace with them... Ill be posting pics\\vids or at least links as they become available.
2.0, Just started a facebook... not entirely sure why.
2.0, loves hubby's singing :D
2.0, Mountain Biking: my personal version of Hell. God must have been in an ironic mood when I was born.
2.0, my rollercoaster...
2.0, OH Sweet Victory. Beautiful win tonight 49ers.
2.0, schizophrenia test =/
2.0, school in 2 minutes.... lol
2.0, sooo tired but can't seem to sleep- bugger
2.0, Such a nice day :) Sadly I'm spending it doing homework.
2.0, thank u all for the greetings:) it made my day happier to know how many woderfull people in my life are exist:) thanks all
2.0, thanx po sa greetings..
2.0, they said it would't be easy... but no one told me it would be this hard...
2.0, thinking about going blonde.. hmm needs a bloody job
2.0, Thinking about plans for Sunday...
2.0, thinks his other facebook got hacked :(
2.0, Tireeeeeeedddddd
2.0, today is lamee saucee my friendss.
2.0, Trying to take my mind off the fact my heart is hurting. So I'm watching episodes of Martin my mind is so cloudy.
2.0, two new Blackened Dawn t-shirts have been designed.... brootal. Also it appears I will have yet another new guitar added to the family.... that brings me up to 9 kids now if thats the case.
2.0, watchin to catch a predator... there are some sick people in this world
2.0, Watching Lost Boys and being all mopey.....
2.0, well today was better than i expected(: tomorrow's gonna be better
2.0, Ã¢â„¢Â¥ YouÃ‚Â´re better then the best... IÃ‚Â´m lucky just to linger in your life.. Cooler than the flip side of my pillow thatÃ‚Â´s right.. Ã¢â„¢Â¥
2.5, "(, itss been a while since i painted my nails black*"
2.5, "..is moonwalkn on water, wit bricks tied around his kicks."
2.5, "3rd overall for 50k fanball fantasy football.... not sure I'll win, but 38 points away from a decent pay day."
2.5, "A true friend        doesn't care if you're        broke, when your house is        a mess, about your past, or        if your family is filled with        crazies...They love you for        who you are. A true friend        can go long periods of time        without speaking to you        and never question the friendship."
2.5, "A true friend doesn't care if you're broke, when your house is a mess, about your past, or if your family is full of crazies... They love you for who you are! A true friend can go long periods of time without speaking to you & never question the friendship! REPOST if you are blessed enough to have at least one true friend. They will know who they are"
2.5, "Ah, don't like me CDS. Why oh why no BFA? Why must be afternoon? :("
2.5, "and on January 23, 1995 at 2:30 a.m. NEMMC......God said let <PERSON> be born unto two parents.  That was 15 years ago....but tonight at 2:30 im looking for that same miracle."
2.5, "champion match, only need one more win but have to lose twice ....let's do this"
2.5, "Congratulations to Magnificent <PERSON> The only utterly un-celebrated five time\ world champion....\"""""
2.5, "could get a katana for $20 at Knife Works, if i really wanted to do so... other wise i'd be paying $30. for one... im so tempted... but i have to wait til next check and im paid on tuesday... too bad that money will be towards rent *sighs*"
2.5, "Do you bury me when I'm gone?	Do you teach me while I'm here?	Just as soon as I belong, then it's time I disappear..............."
2.5, "doesn't feel well at all =( ..sick to my stomach, dizzy, light headed..maybe a nap will help, i hope."
2.5, "eatin pizza, cought on fire welding.... running out of pizza.....finally 16"
2.5, "Freedom is a package deal -- with it comes responsibilities and consequences...\\"""""
2.5, "Got off work 1 and a half hours ago, half a bottle of vodka down, thanks sean for passing out after you made me drink this delicious poison, looks like its 2008 all over again, a bottle of vodka and I alone once again.... oh lover how i've missed you.... ;)"
2.5, "Great, now im ill. Fate is a conspiring bastard."
2.5, "Had a good Birthday, went to Disney with some Co-Workers and hung out, I was happy :)"
2.5, "happy 1st monthsarry to us. ,>"
2.5, "has decided his kid will be called, <PERSON>.."
2.5, "having one of those mornings where I gotta restrain my feet from busting out in dance while out in public. its easy to find me, I'm the lil asian girl with blaring music coming from her ears and bounce in her step.."
2.5, "Helping out Cafe' Di Luna move to a new spot on 3rd and Herr. Best coffee in the city.. Dwelling on NEGATIVITY only contributes to its POWER. Putting my inspiration, imagination and skills to the test.."
2.5, "How do you say Disip in Spanish Disip Gazzman Wilton Djkompa Disip Versace Michael Adolphe Chancy , I want tell my Dominican girlfriend since have never heard of any such name..She asked me if that the name of a drink...lol."
2.5, "Humm, no,,,, I'm stopping and I'm praying. Interesting, how much longer, I know I'm far from a saint, but I know what I need to do, Get on the Cross He Has"
2.5, "I am a gun owner I do believe in the right to keep and bear arms. One Facebooker has challenged all gun owners to put this on their wall. The Supreme Court of the United States has affirmed that the right to keep and bear arms is a fundamental right of the individual. If you Believe in the 2nd Amendment and you are not afraid to show it, re-post this. ***Aim well, live free"
2.5, "I am perfectly imperfect, beautiful in my flaws, sure of my insecurities, absolute chaos..a beautiful disaster"
2.5, "I am the Bad Wolf. I create myself. I take the words... I scatter them, in time and space. A message, to lead myself here."
2.5, "I can't fly, my wings don't work so I	Get high so my feelings ain't hurt	Fuck the world, don't ask me for shit	Dead and gone but it still don't quit."
2.5, "I dun like RTS,("
2.5, "I had been invited lately by three friends to grace their respective daughter's grand day -- 2 birthday celebrations and 1 baptismal...that is consecutively...i missed the birthday celebrations but made it to the baptismal reception...my apologies to <PERSON>and <PERSON>..my birthday wishes to both of your angels and to <PERSON>,<PERSON>is such a dolly..."
2.5, "I hate living in a society where torturing one animal is cruelty, but torturing many animals is science."
2.5, "I saw this song on TV - one of my all time favorites - Holiday by Scorpions... come to think of it, the following lines should be on everyone's lips in Omaha during winter :)                Exchange the cold days for the sun"
2.5, "I think <PERSON> is obsessed with me, and that is just weird....        jk"
2.5, "I was keeping up pretty good, but man I got a lot of happy birthdays so thank you all... it's nice to be noticed guys"
2.5, "If God's the game that you're playing	Well, we must get more acquainted	Because it has to be so lonely... to be the only one who's holy"
2.5, "if i know what love is,it is because of you...."
2.5, "if only i could find a boy that won't lie and decieve me,one that could just talk to me instead of want to be all over me alllll the time, all i ask for is a friend"
2.5, "If the answer lies within, then why is there confusion? Are we blinded, deaf, or just ignorant to the inner voice?"
2.5, "If you and I woke up in jail together...using only FOUR words...what would you say to me? Copy and paste this in your status and see what funny (and interesting) things your friends say. (And if you make a comment, you gotta put this in your status. Fair is fair)"
2.5, "Im listening to Dream Theater\...they're Amazing...i dont think Josh Ballard is ever wrong when he says somthings good.\"""""
2.5, "is at Wegmans using the Wifi to finally check everything... and pay some stinky bills. Oh, by the way, Roadrunner can suck it."
2.5, "is in LOVE with F.R.I.E.N.D.S (the tv show, not actual friends)"
2.5, "is in Palm Coast, Florida :)"
2.5, "Is spending another lazy day at home, and liking it.  Although admittedly it is becoming boring.  I may actually have to venture out and join the human race again."
2.5, "It is for the best consideration of that child.  If the couple were seperated, then he/she would be saddened that the father/mother might not be around as much as they are needed.  This is bad for the child.  Most of the times when miscarriages are reported, the couples are not married.  Again this isn't bad, but God has a purpose for you in life, and that could be His way of telling you to reconsider your choices."
2.5, "It's 4am, I'm been up for more than 24hrs and I still can't sleep :(  Insomnia sucks."
2.5, "it's me who never lost...,i just let you win...,and your reward is too...,grab and hold my heart..."
2.5, "Its easy 2 obtain it all, but y its so hard 2 maintain it all,,,,,smh"
2.5, "last night with my sweetheart kaitlyn so fun lol. so is the best girl in the world ,)"
2.5, "Life has handed me a fare share of lemons. I have decided to make grape juice with them, then stand back and watch everyone wonder how the hell I did it.. :)c"
2.5, "Life is too         short to  wake up with regrets. So love        the people who  treat you right.. Forget about the        ones who  don't. Believe everything happens for  a        reason. If you get a second chance, grab it  with both        hands. If it changes your life, let  it. Nobody said life        would be easy, they just   promised it would be         worth it."
2.5, "Listening to <PERSON>, and wanting to watch Twilight. Also wondering where someone is..."
2.5, "Look what my mate found on google earth XD go to this and go street view Rugdeveien 39, 5097 Bergen, Hordaland, Norway"
2.5, "loves the purse she got for her birthday. :) Thank goodness, the old one is in shreds...literally."
2.5, "missing sum1 wen u r alone is nt affection. But, thinking of sum1 even wen u r busy is called real affection....."
2.5, "My favorite bruise is fading, almost gone, but not the memory, not for me anyway....."
2.5, "Oh god, i think i'm going to die no computer. :<"
2.5, "Ohhh, bored.. Someone should see if I can hang out with them..."
2.5, "ok my Urban Dictionary meaning... LOL....An extremely attractive girl whos flirty personality and curvacious figure will keep you coming back for more. She's typically a brunette but occasionally acts blonde. She enjoys long relationships and has many close guy friends. Often mistaken for a slut\ but really isn't. She can also be a super bitch if you get onto her bad side....\"""""
2.5, "ok, a shout out a receny friend of mine left everything she new to help her sick sister's family,... her sister died yesterday. any warriors want to take up swords twould be a good battle. i just want Fathers pressence felt and know in these times of difficult choices three children and a spouse"
2.5, "Ok, had to change this by request.  Good morning facebook.  I hope your last few days have been just as good as mine have been.  Get out there and make it happen.  :)"
2.5, "OK...I guess I'm relatively new to this event scheduling thing....I couldn't figure out how to do the Facebook event scheduler, so I tried evite....feel free to respond to either but I think any future updates will be through the facebook events page."
2.5, "P \POKE\"" me if you've ever had a crush on me. \""LIKE\"" this status if you find me attractive. \""MESSAGE\"" me if you've everwanted to date me & \""COMMENT\"" if we have had any good memories (: Now let's see who's brave enough to copy and paste this as their status...\"""""
2.5, "People need to understand that children with special needs don't have an illness, so there is no cure & it's not contagious. They only want what we all want, to be accepted. 95% of you probably won't copy and paste this. Will you do it and leave it on your status for at least an hour? It's Special Education Week, and this is in honor of all the kids who need a little extra help & understanding"
2.5, "Playing guitar, hanging with pals: walking on air is the life."
2.5, "sitting next to her,watching her smile,talk,laugh,kiss,hug makes me feels stronger and warmth. is as if half my life belongs to her. finally,we meet again.. after so long you've been missing from my view.. im ready to take to the next level.. it may take lots of consequences but for the sake of love and trying,i will try. you are my drug, and my only personal brand of heroin."
2.5, "Sleepless.	A mix feeling of happy, worried, excited, confused, ambiguous, angry and desperate."
2.5, "So two things... I haven't looked at my wall in a long time... so thanks everyone for the birthday wishes and all the kind words... it really means a lot to me.  :)  Second, today would have been my best friend's 32nd birthday.  She died almost 16 years ago- Rest in Peace Becca.  You are always in my heart."
2.5, "Sometimes the person you really need is the one you didnÃ¢â‚¬â„¢t think you wanted.\ -Unknown... Think about this one for a second. LOL\"""""
2.5, "sorry to all the farmvill and mafia players... But, i dont think ill be doing that."
2.5, "Sudden change of plans. Some work I was hoping to do for my family got canceled, and that may cost me what I need to get to The Honeypot on the 27th. I should know in the next couple days if I am going thurs or not :/"
2.5, "swim meet today, didn't make it back to finals i sucked but im going to movie so the movies so thats good i guess.:)"
2.5, "thanks you guys, 17 is such a milestone age xD well at least it's an awesome number"
2.5, "There comes a point in your life when you realize:        Who matters,        Who never did,        Who won't anymore...        And who always will.        ...So, don't worry about people from your past, there's a reason why they didn't make it to your future"
2.5, "there's quite a heavy bit on my mind these days. But in due time, it will all come together. In the meantime, yes folks...Miss King is living like she's dying. My mother recently told me whatever makes u happy, do it today cuz tomorrow may not come for u."
2.5, "these last three days have been quite epic..... tommorow looks sweet as well. But first, I sleep."
2.5, "Thoughts for the New Year:  God won't ask how many promotions you received, but He'll ask how you promoted others."
2.5, "We got spirt,  yes we do, We got spirt how 'bout you.... i think i will vomit next time i hear that."
2.5, "Well, here is to all of my family and friends, I hope that this summer brings only the best, even if the road gets a little bumpy, hold on, time will heal all.."
2.5, "Well, I didn't make Chief, and I am no longer the LPO (apparently I'm arrogant, among other things), but at least I got the orders I wanted. 8th & I, here I come...now I just have to get through living the next 8 months in what feels like the left armpit of the world."
2.5, "well, we're in the hospital. my poor baby has had two spinal taps. we still dont know whats wrong...."
2.5, "When we react to life from the head without joining forces with the heart, it can lead us into childish, inelegant behavior that we don't respect in ourselves. If we get the head in sync with the heart first, we have the power of their teamwork working for us and we can make the changes we know we need to make."
2.5, "When youÃ¢â‚¬â„¢re sad and alone, the only one you can truly depend on is yourself. Ã¢â‚¬â€ Zetsu"
2.5, "Wow <PERSON> got his ass beat up for 4 1/2 rounds and managed to win, I still can't believe it."
2.5, "You and I wake up in a police cell together. Using only 4 words, what would you say to me? Note: If you comment, you must copy and paste this to your status, so I may comment on yours as well.. Be a good sport and play along... 4 words is harder than you think"
2.5, "Ã¢â‚¬Å“We are ready to get this done today but there has to be movement on all sides to recognize that it is better for us to act than to talk. Better for us to choose action over inaction; the future over the past. With courage and faith, I believe that we can meet our responsibilities to our people, and to the planet.Ã¢â‚¬Â-the President"
2.5, 'MOTOGP  Rest In Peace Tomizawa''.. :(
2.5, ... thank guys... Ã¤Â»Å Ã¦Â¬Â¡Ã¦Æ’Â³Ã¥â€â€Ã¨Â®Å Ã§Å“Å¸Ã©â„¢Â³Ã¤Â¼Â¯Ã©Æ’Â½Ã¥â€â€Ã¥Â¾â€”Ã¦Â´â€º......
2.5, ....What it look like......lol.....
2.5, .You think the only people who are people are the people who look and think like you.
2.5, 19 years old today....no big deal ppl
2.5, :(.......2/9/11......hopper...8 by 8=Gratitude beyond words.
2.5, <PERSON> u have issuse lmao
2.5, <PERSON>..i want my money back....
2.5, @ home...just chillin...I needed to come home...
2.5, a lot of people find themselves trapped in something that they've outgrown and are unhappy.. and they dont know how to get out of it because they think that they're supposed to make it happen..
2.5, Already tired. Been quite the strenuous day
2.5, Babysitting... laughs
2.5, bad night. didn't get home til 4:15.....sometimes I wish...
2.5, being free is living your life fearless...
2.5, boreddddddddddd...
2.5, Bummer...my Cowboys.....
2.5, Can I make a little hole in the tank and drain them dead?... :P
2.5, college's closed till semester.....itz so cold n v hv been releived frm gtng up at 5 in d mrng...
2.5, dam just when i was ganna go back to school
2.5, damn i smoked a vap oh shit lol
2.5, did i mention how much i hate homework at home
2.5, does anyone know the secret to happiness and peace?  because i sure as hell dont.
2.5, Don't cry because it's over. Smile because it happened :) Dr. Seuss
2.5, eh get to go to aso... so tired... idk if ill make it through
2.5, eng2 :((
2.5, exhausted and my back is so weak still from yesterday and my tat...
2.5, FACEBOOK OFf again... Ã¢â€”â€ž(:-PÃ¢â€“Âº
2.5, feels gud to be back on fb.. all my frenz r here/ missd u all
2.5, feels like tearin someone's ass up
2.5, fight tomorow yall needa go be a good fight
2.5, fixin 2 go crazy blaaaaaaaaaa i just did bamaboyz 4 life
2.5, Game at 3 a clock tommorow have to be there at 830 because of brothers game :[
2.5, Getting ready to go out with the babe...
2.5, good bye grandma.. i hope u reach a better place.. we love u.. :'(
2.5, Got sick of using limewire anyone know a good site or program to download muxic with o_0
2.5, grr i dont know where is the phone :/
2.5, Guess what people. I'm in bed... won't be moving from here 'till Monday
2.5, had a great weekend I hope everyone else did as well :)
2.5, hahaha. . . I spam my own page. . .
2.5, Happy Independence Day to ALL..........
2.5, has another baby with reflux :(    thankfully i knew the signs this time around and we caught it early
2.5, hates the Lakers. Hates.
2.5, Have you ever looked at a picture and had it bring you to tears b/c for an instant you think you see it in thier eyes too and if only....
2.5, heard a good joke today at womans day magazine. How do you wake Lady Gaga up. You poke her face ( poker face)           i found it funny :)
2.5, Here we go :)
2.5, hey thnks to all of you...
2.5, hopes he can stay at this really good job. I am so afraid of what could happen. Not for me...no. But my wife and kids. I'm who they depend on for substance.. to provide for them. To fail them would be hearbreaking. Pray for me to keep on keepin' on and trust in God to provide no matter what the outcome might be.
2.5, How ya doin peeps?
2.5, I am now officially a certified personal trainer
2.5, I am way too beautiful and popular to be sick...  FML
2.5, I could really use a miracle about right now
2.5, i dont get this shitt
2.5, i eat a faqyt dik when i sck a fat pussy
2.5, I hate going to basketball games. Their so gay.
2.5, i hav an evaluation of this quarter in about an hour. wish me luck =]
2.5, I have yet to acquire the taste for beer :P
2.5, I know i`m not perfect but i`m so close it scares me..:)
2.5, I lov listenin 2 lies wen i know the truth
2.5, i love farmville  pero nakakapagod din ang mgtnim at mghrvest..hehehe
2.5, i never really knew that you could dance like this...:))=))
2.5, i never thought that i could be so wrong about you twice....
2.5, i tried to do farm pals but i need to download adobe flash player and that wont work on my computor =(
2.5, I want 2 thank everyone 4 wishingme a happy bday...luv u guys
2.5, I wish they would show the cheerleaders more between plays...
2.5, I'm getting better...I hope... *smiles faintly to the crowd of onlookers*
2.5, i'm happy and sad at the same time... di kaya nababaliw na ko? ^^
2.5, I'm studying for a history test...and i'm super duper tired
2.5, In first period they're molesting my bear lmao he's cute though:-)
2.5, Ind Vs Srilanka - A Thrilling match in progress....India need 65 ..5 wickets in hand..
2.5, is a busy little bee.
